marca,modelo,año,kilometros,precio
Opel,Corsa Gs Line,2022,"49,686km","15,800€"
Opel,Corsa Gs Line,2024,"3,329km","19,950€"
Opel,Corsa Gs Line,2024,"6,774km","19,950€"
Opel,Corsa Gs Line,2023,"19,347km","21,950€"
Opel,Corsa Gs Line,2023,"45,870km","18,900€"
Opel,Corsa Gs Line,2021,"59,491km","18,500€"
Opel,Corsa Gs Line,2021,"48,644km","14,950€"
Opel,Corsa Gs Line,2021,"55,000km","14,950€"
Opel,Corsa Gs Line,2023,"24,981km","16,900€"
Opel,Corsa Gs Line,2022,"98,288km","14,750€"
Opel,Corsa Gs Line,2021,"71,177km","14,450€"
Opel,Corsa Gs Line,2022,"25,000km","17,900€"
Opel,Corsa Gs Line,2022,"52,577km","15,945€"
Opel,Corsa Gs Line,2021,"23,561km","15,950€"
Opel,Corsa Gs Line,2022,"35,533km","17,400€"
Opel,Corsa Gs Line,2021,"52,147km","15,940€"
Opel,Corsa Gs Line,2023,"11,602km","16,990€"
Opel,Corsa Gs Line,2021,"36,017km","16,995€"
Opel,Corsa Gs Line,2023,"11,870km","17,345€"
Opel,Corsa Gs Line,2021,"71,111km","15,345€"
Opel,Corsa Gs Line,2022,"31,984km","20,950€"
Opel,Corsa Gs Line,2021,"32,748km","16,999€"
Opel,Corsa Gs Line,2021,"59,400km","14,950€"
Opel,Corsa Gs Line,2023,"21,957km","16,895€"
Opel,Corsa Gs Line,2023,"9,334km","17,345€"
Opel,Corsa Gs Line,2022,"20,000km","16,445€"
Opel,Corsa Gs Line,2022,"11,240km","16,445€"
Opel,Corsa Gs Line,2021,"37,077km","15,950€"
Opel,Corsa Gs Line,2021,"49,630km","17,780€"
Opel,Corsa Gs Line,2021,"109,344km","13,950€"
Opel,Corsa Gs Line,2021,"59,521km","15,893€"
Opel,Corsa Gs Line,2022,"42,952km","16,425€"
Opel,Corsa Gs Line,2022,"32,368km","16,440€"
Opel,Corsa Gs Line,2022,"26,686km","16,445€"
Opel,Corsa Gs Line,2023,"12,923km","18,390€"
Opel,Corsa Gs Line,2021,"79,914km","15,445€"
Opel,Corsa Gs Line,2021,"40,293km","15,900€"
Opel,Corsa Gs Line,2022,"53,628km","16,900€"
Opel,Corsa Gs Line,2024,"11,225km","21,250€"
Opel,Corsa Gs Line,2021,"16,910km","19,995€"
Opel,Corsa Gs Line,2023,"41,706km","17,495€"
Opel,Corsa Gs Line,2023,"4,994km","21,950€"
Opel,Corsa Gs Line,2023,"51,208km","17,390€"
Opel,Corsa Gs Line,2021,"43,592km","16,400€"
Opel,Corsa Gs Line,2022,"27,493km","17,950€"
Opel,Corsa Gs Line,2021,"39,419km","19,950€"
Opel,Corsa Gs Line,2024,"13,196km","19,940€"
Opel,Corsa Gs Line,2021,"34,431km","17,945€"
Opel,Corsa Gs Line,2023,"21,507km","19,825€"
Opel,Corsa Gs Line,2022,"25,031km","21,490€"
Opel,Corsa Gs Line,2022,"52,107km","16,900€"
Opel,Corsa Gs Line,2024,"14,293km","21,495€"
Opel,Corsa Gs Line,2022,"58,522km","20,940€"
Opel,Corsa Gs Line,2022,"55,066km","17,245€"
Opel,Corsa Gs Line,2023,"12,692km","21,849€"
Opel,Corsa Gs Line,2022,"64,058km","16,490€"
Opel,Corsa Gs Line,2022,"13,637km","17,950€"
Opel,Corsa Gs Line,2023,"26,179km","17,495€"
Opel,Corsa Gs Line,2023,"27,882km","17,495€"
Opel,Corsa Gs Line,2024,"18,510km","21,495€"
Opel,Corsa Gs Line,2022,"25,752km","17,940€"
Opel,Corsa Gs Line,2022,"20,815km","20,877€"
Opel,Corsa Gs Line,2021,"62,691km","16,649€"
Opel,Corsa Gs Line,2023,"7,443km","19,745€"
Opel,Corsa Gs Line,2022,"42,100km","17,445€"
Opel,Corsa Gs Line,2021,"71,026km","16,495€"
Opel,Corsa Gs Line,2023,"12,360km","19,850€"
Opel,Corsa Gs Line,2023,"51,785km","18,445€"
Opel,Corsa Gs Line,2022,"64,642km","16,945€"
Opel,Corsa Gs Line,2022,"21,530km","18,400€"
Opel,Corsa Gs Line,2023,"25,498km","18,745€"
Opel,Corsa Gs Line,2021,"16,000km","21,450€"
Opel,Corsa Gs Line,2021,"70,472km","16,500€"
Opel,Corsa Gs Line,2024,"12,473km","19,950€"
Opel,Corsa Gs Line,2022,"43,677km","17,445€"
Opel,Corsa Gs Line,2022,"31,897km","19,440€"
Opel,Corsa Gs Line,2023,"27,217km","22,950€"
Opel,Corsa Gs Line,2023,"23,560km","20,950€"
Opel,Corsa Gs Line,2022,"42,001km","17,445€"
Opel,Corsa Gs Line,2023,"7,910km","23,900€"
Seat,Ibiza FR,2023,"9,994km","20,049€"
Seat,Ibiza FR,2024,"3,009km","21,950€"
Seat,Ibiza FR,2023,"22,148km","26,949€"
Seat,Ibiza FR,2023,"6,511km","26,949€"
Seat,Ibiza FR,2023,"13,894km","25,350€"
Seat,Ibiza FR,2024,"3,451km","22,950€"
Seat,Ibiza FR,2021,"102,738km","14,499€"
Seat,Ibiza FR,2022,"58,751km","19,999€"
Seat,Ibiza FR,2021,"107,489km","15,940€"
Seat,Ibiza FR,2021,"51,355km","15,999€"
Seat,Ibiza FR,2021,"64,430km","16,945€"
Seat,Ibiza FR,2021,"56,269km","21,995€"
Seat,Ibiza FR,2021,"23,100km","22,000€"
Seat,Ibiza FR,2021,"95,560km","16,945€"
Seat,Ibiza FR,2021,"82,122km","21,490€"
Seat,Ibiza FR,2021,"66,036km","15,745€"
Seat,Ibiza FR,2023,"48,660km","19,900€"
